Baseline,N Paired Observations,PPO Mean Error,Baseline Mean Error,Improvement (%),t-statistic,p-value,Paired Effect Size (d)
Static Easy,40,0.08548407738095237,0.23029603174603178,62.8807857726253,-44.870727885103044,3.501944503372235e-35,7.094685019327786
Static Medium,40,0.08548407738095237,0.20453035714285708,58.20469950030702,-14.136367486442811,6.20976346419343e-17,2.2351559549154367
Static Hard,40,0.08548407738095237,0.5183225694444444,83.50755255118891,-40.44637432339547,1.8467925347952757e-33,6.395133297884071
Rule-Based DDA,40,0.08548407738095237,0.1339690972222222,36.19119696003097,-18.845207775615574,3.432641775969518e-21,2.979688977503028
