Player Profile,Method,Win_Rate_Error,Difficulty_Change_Std,Mean_Absolute_Difficulty_Change,Episode_Length,Total_Reward,Mean_Win_Rate,Mean_Difficulty,Mean_Error_Rate
Fatigue,PPO DDA,0.08816428571428576,0.070230328104844,0.05863027633035678,200.0,206.51481051951788,0.7485309523809524,0.42713938300592835,0.015185205164549114
Fatigue,Rule-Based DDA,0.13513154761904764,0.014031061130390945,0.012406031475858831,200.0,170.39890088766458,0.6756898809523809,0.4825519992124838,0.01469879569850554
Fatigue,Static Easy,0.24739603174603175,0.005541326076445425,0.0012060301387729355,200.0,94.02723028253992,0.9450626984126984,0.20600000292062762,0.0001151941616940501
Fatigue,Static Hard,0.4998585317460317,0.005541326351686076,0.0012060301986771007,200.0,-259.15337504044953,0.21082718253968252,0.7940000116825103,0.23992349793802567
Fatigue,Static Medium,0.19639384920634922,0.0,0.0,200.0,118.23277027790502,0.6522938492063493,0.5,0.029653640637809446
Learning,PPO DDA,0.09491904761904765,0.06856700672252931,0.05689180367242343,200.0,198.26446905415168,0.7416,0.4276434891078261,0.014337804454828896
Learning,Rule-Based DDA,0.1468351190476191,0.014108998230373673,0.012522855491860368,200.0,155.7938930812476,0.694064880952381,0.46588567484165777,0.016422720788304132
Learning,Static Easy,0.23611626984126985,0.005541326076445425,0.0012060301387729355,200.0,98.06015926429107,0.8895480158730159,0.20600000292062762,0.003551225644042702
Learning,Static Hard,0.4782753968253968,0.005541326351686076,0.0012060301986771007,200.0,-241.8795762756694,0.22462460317460317,0.7940000116825103,0.23959495254090454
Learning,Static Medium,0.2656805555555556,0.0,0.0,200.0,44.27798354261168,0.6098194444444445,0.5,0.051455325409462335
Noisy,PPO DDA,0.0843337301587302,0.070307680177778,0.05903327467267204,200.0,208.09113857389016,0.7413218253968255,0.40822163570260794,0.062271678118397
Noisy,Rule-Based DDA,0.1253531746031746,0.013717832603098778,0.011794976277726245,200.0,177.63214494612157,0.6912063492063492,0.45159199221352003,0.06761445290802645
Noisy,Static Easy,0.22878313492063498,0.005541326076445425,0.0012060301387729355,200.0,106.58777038385878,0.9174224206349206,0.20600000292062762,0.015114118136022283
Noisy,Static Hard,0.48285873015873015,0.005541326351686076,0.0012060301986771007,200.0,-210.54094199513935,0.2204388888888889,0.7940000116825103,0.31877995711172524
Noisy,Static Medium,0.12993472222222222,0.0,0.0,200.0,172.72695049201994,0.6375144841269841,0.5,0.08059145025087935
Stable,PPO DDA,0.07451924603174606,0.06622140104849886,0.05585512275390005,200.0,216.47783003293503,0.7180490079365079,0.3467043482888107,0.01533638669639326
Stable,Rule-Based DDA,0.12855654761904764,0.013998566470997634,0.012285428500344144,200.0,175.33361980979006,0.6819434523809524,0.38071998072200314,0.013652954209271654
Stable,Static Easy,0.20888869047619055,0.005541326076445425,0.0012060301387729355,200.0,120.7924962298622,0.8969113095238097,0.20600000292062762,0.00028330471322801957
Stable,Static Hard,0.612297619047619,0.005541326351686076,0.0012060301986771007,200.0,-423.96874431724,0.08985238095238095,0.7940000116825103,0.33563205667540197
Stable,Static Medium,0.22611230158730153,0.0,0.0,200.0,91.17147566395207,0.48588531746031743,0.5,0.04163204499289156
