Baseline,N,PPO Mean Error,Baseline Mean Error,Improvement (%),Mean Paired Difference,95% CI Low,95% CI High,t-statistic,p-value,Cohen's d
Rule-Based DDA,50,0.08000174603174609,0.1707966666666667,53.159656102726785,0.09079492063492063,0.06031919750523311,0.12127064376460815,-5.987035102944314,2.450557808890045e-07,0.8466946240987648
Static Easy,50,0.08000174603174609,0.24144571428571432,66.8655348601151,0.16144396825396817,0.13259912585524553,0.19028881065269082,-11.247549780387105,3.524057243885834e-15,1.5906437442889971
Static Medium,50,0.08000174603174609,0.3260881349206349,75.46621987604138,0.24608638888888879,0.18851641929583607,0.3036563584819415,-8.590053404602537,2.427265144273758e-11,1.2148170026298089
Static Hard,50,0.08000174603174609,0.40881563492063494,80.43084970385803,0.32881388888888885,0.2612207613279883,0.3964070164497894,-9.775790418041032,4.2502934389303437e-13,1.3825055392110575
