Method,Total Reward,Final Win Rate,Mean Rolling Win Rate,Win Rate Error,Mean Difficulty,Difficulty Std,Mean Absolute Difficulty Change,Episode Length,Player Profile,Seed
Static Medium,-491.03418800767275,0.0,0.05,0.6499999999999999,0.5,0.0,0.0,200,Unseen Low Skill,107
Static Hard,-575.3469087737287,0.0,0.01,0.69,0.699999988079071,0.0,0.0,200,Unseen Low Skill,107
Rule-Based DDA,145.37806258697694,0.9,0.7041785714285714,0.004178571428571476,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,107
PPO DDA,189.76804663342858,0.7,0.6068650793650794,0.09313492063492057,0.11184179250150919,0.18798339551635113,0.1324353173150489,200,Unseen Low Skill,108
Static Easy,-125.38612990774614,0.2,0.2722202380952381,0.42777976190476186,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,108
Static Medium,-487.5426251365982,0.0,0.055,0.6449999999999999,0.5,0.0,0.0,200,Unseen Low Skill,108
Static Hard,-576.6399836590348,0.0,0.01,0.69,0.699999988079071,0.0,0.0,200,Unseen Low Skill,108
Rule-Based DDA,165.38767465082137,0.9,0.7527202380952381,0.05272023809523818,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,108
PPO DDA,150.99606252164034,0.5,0.554595238095238,0.14540476190476193,0.08999756837263703,0.19897780730175124,0.11677263441247557,200,Unseen Low Skill,109
Static Easy,-172.0692929243551,0.0,0.24,0.45999999999999996,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,109
Static Medium,-510.66483737230095,0.0,0.04,0.6599999999999999,0.5,0.0,0.0,200,Unseen Low Skill,109
Static Hard,-585.5944012297525,0.0,0.005,0.695,0.699999988079071,0.0,0.0,200,Unseen Low Skill,109
Rule-Based DDA,153.5817428135979,0.5,0.6714503968253968,0.0285496031746032,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,109
PPO DDA,168.01671348969512,0.9,0.8305000000000001,0.13050000000000017,0.6526183302886784,0.360963814787691,0.2431212655788091,200,Unseen High Skill,100
Static Easy,55.81185703520734,1.0,1.0,0.30000000000000004,0.30000001192092896,0.0,0.0,200,Unseen High Skill,100
Static Medium,85.39003161509801,0.9,0.9605000000000001,0.2605000000000002,0.5,0.0,0.0,200,Unseen High Skill,100
Static Hard,158.31488875489939,0.9,0.8155000000000001,0.11550000000000016,0.699999988079071,0.0,0.0,200,Unseen High Skill,100
Rule-Based DDA,55.69873718756264,1.0,1.0,0.30000000000000004,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,100
PPO DDA,173.65399821565254,0.8,0.8285000000000002,0.12850000000000028,0.6535954357683659,0.3475586843052994,0.27418405147054087,200,Unseen High Skill,101
Static Easy,67.54322897405488,1.0,0.985,0.28500000000000003,0.30000001192092896,0.0,0.0,200,Unseen High Skill,101
Static Medium,92.81461236682175,1.0,0.9500000000000002,0.2500000000000002,0.5,0.0,0.0,200,Unseen High Skill,101
Static Hard,168.6456309602918,1.0,0.8268551587301589,0.12685515873015896,0.699999988079071,0.0,0.0,200,Unseen High Skill,101
Rule-Based DDA,55.69873718756264,1.0,1.0,0.30000000000000004,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,101
PPO DDA,166.11920605374917,0.7,0.8388194444444446,0.1388194444444446,0.6820165093243122,0.3473754048210528,0.25177621092628594,200,Unseen High Skill,102
Static Easy,59.84530022158161,1.0,0.9948194444444445,0.2948194444444445,0.30000001192092896,0.0,0.0,200,Unseen High Skill,102
Static Medium,78.0714571571318,1.0,0.9698194444444443,0.2698194444444444,0.5,0.0,0.0,200,Unseen High Skill,102
Static Hard,145.54342870642722,0.9,0.8683194444444446,0.1683194444444447,0.699999988079071,0.0,0.0,200,Unseen High Skill,102
Rule-Based DDA,59.73218037393701,1.0,0.9948194444444445,0.2948194444444445,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,102
PPO DDA,180.19240652550414,0.9,0.8251051587301589,0.12510515873015893,0.638994112778455,0.36613269082068295,0.29495466036263424,200,Unseen High Skill,103
Static Easy,62.70324219263874,1.0,0.99,0.29000000000000004,0.30000001192092896,0.0,0.0,200,Unseen High Skill,103
Static Medium,97.56952691906474,1.0,0.9396051587301588,0.23960515873015886,0.5,0.0,0.0,200,Unseen High Skill,103
Static Hard,159.92146117356114,1.0,0.8396051587301588,0.13960515873015888,0.699999988079071,0.0,0.0,200,Unseen High Skill,103
Rule-Based DDA,55.69873718756264,1.0,1.0,0.30000000000000004,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,103
PPO DDA,173.13574657177668,0.9,0.8275000000000001,0.12750000000000017,0.6495422034710646,0.364115450905769,0.2722320017503135,200,Unseen High Skill,104
Static Easy,61.67327281410953,0.9,0.9925,0.2925000000000001,0.30000001192092896,0.0,0.0,200,Unseen High Skill,104
Static Medium,108.24430483905859,0.9,0.9275,0.22750000000000004,0.5,0.0,0.0,200,Unseen High Skill,104
Static Hard,171.21048679058978,0.9,0.8025,0.10250000000000004,0.699999988079071,0.0,0.0,200,Unseen High Skill,104
Rule-Based DDA,57.65569471100013,0.9,0.9975,0.2975000000000001,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,104
PPO DDA,172.7751238851268,0.8,0.8128551587301588,0.11285515873015883,0.6446492147259414,0.35591014998117343,0.29649642787536784,200,Unseen High Skill,105
Static Easy,61.83567892817431,1.0,0.9803551587301587,0.2803551587301587,0.30000001192092896,0.0,0.0,200,Unseen High Skill,105
Static Medium,90.7075790519633,1.0,0.9403551587301586,0.24035515873015867,0.5,0.0,0.0,200,Unseen High Skill,105
Static Hard,168.08070673672034,0.8,0.8328551587301589,0.13285515873015896,0.699999988079071,0.0,0.0,200,Unseen High Skill,105
Rule-Based DDA,57.81255905235862,1.0,0.9853551587301587,0.2853551587301587,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,105
PPO DDA,172.41912477275454,0.8,0.831,0.131,0.6560385127551853,0.3570400951469166,0.28180749223909185,200,Unseen High Skill,106
Static Easy,55.81185703520734,1.0,1.0,0.30000000000000004,0.30000001192092896,0.0,0.0,200,Unseen High Skill,106
Static Medium,82.01855851763393,1.0,0.9650000000000002,0.26500000000000024,0.5,0.0,0.0,200,Unseen High Skill,106
Static Hard,160.72654903627318,0.8,0.831,0.131,0.699999988079071,0.0,0.0,200,Unseen High Skill,106
Rule-Based DDA,55.69873718756264,1.0,1.0,0.30000000000000004,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,106
PPO DDA,172.91195601194437,0.9,0.8283412698412698,0.1283412698412698,0.6633589597046375,0.35116264050310997,0.28693284790719575,200,Unseen High Skill,107
Static Easy,60.694961851392186,1.0,0.9930218253968255,0.29302182539682553,0.30000001192092896,0.0,0.0,200,Unseen High Skill,107
Static Medium,82.98052583891419,1.0,0.9628412698412699,0.26284126984127,0.5,0.0,0.0,200,Unseen High Skill,107
Static Hard,167.0961900618856,0.9,0.8083412698412699,0.1083412698412699,0.699999988079071,0.0,0.0,200,Unseen High Skill,107
Rule-Based DDA,60.58184200374751,1.0,0.9930218253968255,0.29302182539682553,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,107
PPO DDA,168.67430464908531,0.9,0.8354444444444445,0.1354444444444446,0.6677680866606533,0.3482059521703835,0.26363935748386624,200,Unseen High Skill,108
Static Easy,67.5421395871548,1.0,0.985,0.28500000000000003,0.30000001192092896,0.0,0.0,200,Unseen High Skill,108
Static Medium,78.56497489861063,1.0,0.97,0.27,0.5,0.0,0.0,200,Unseen High Skill,108
Static Hard,164.62096043133317,0.9,0.8445218253968255,0.14452182539682557,0.699999988079071,0.0,0.0,200,Unseen High Skill,108
Rule-Based DDA,55.69873718756264,1.0,1.0,0.30000000000000004,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,108
PPO DDA,171.8831640940394,0.8,0.8252718253968254,0.12527182539682546,0.6466082332096994,0.36601162056186176,0.2930574430967096,200,Unseen High Skill,109
Static Easy,64.29187134922118,1.0,0.9887718253968254,0.28877182539682544,0.30000001192092896,0.0,0.0,200,Unseen High Skill,109
Static Medium,89.90627132222211,1.0,0.9537718253968254,0.2537718253968254,0.5,0.0,0.0,200,Unseen High Skill,109
Static Hard,169.54170984804097,0.8,0.8082718253968254,0.10827182539682545,0.699999988079071,0.0,0.0,200,Unseen High Skill,109
Rule-Based DDA,60.26684200374756,1.0,0.9937718253968254,0.29377182539682545,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen High Skill,109
PPO DDA,180.99505121247824,0.9,0.760732142857143,0.06073214285714301,0.49577360006049276,0.38416144812926206,0.23078690233392332,200,Unseen Fast Learning,100
Static Easy,88.55423021524506,1.0,0.8646011904761904,0.16460119047619048,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,100
Static Medium,36.211368405251804,0.9,0.6981448412698412,0.0018551587301587347,0.5,0.0,0.0,200,Unseen Fast Learning,100
Static Hard,-55.98435387626039,0.9,0.5131448412698413,0.18685515873015868,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,100
Rule-Based DDA,56.37226901780637,1.0,0.9496011904761904,0.24960119047619045,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,100
PPO DDA,163.44247724216612,0.8,0.7598373015873017,0.05983730158730172,0.519732047431171,0.3900099275797551,0.2261169098280183,200,Unseen Fast Learning,101
Static Easy,79.57062064930226,1.0,0.8191230158730158,0.11912301587301588,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,101
Static Medium,42.706304754833276,1.0,0.6928948412698414,0.0071051587301586006,0.5,0.0,0.0,200,Unseen Fast Learning,101
Static Hard,-79.61199881485079,1.0,0.5325000000000001,0.16749999999999987,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,101
Rule-Based DDA,49.17399715981708,1.0,0.9391785714285714,0.23917857142857146,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,101
PPO DDA,178.43090546260842,0.8,0.7815515873015875,0.08155158730158751,0.545779824834317,0.3707693440677657,0.23457697936188635,200,Unseen Fast Learning,102
Static Easy,71.23229410705572,1.0,0.8682837301587302,0.16828373015873022,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,102
Static Medium,-13.22610995107469,1.0,0.7375,0.03750000000000009,0.5,0.0,0.0,200,Unseen Fast Learning,102
Static Hard,-49.79671992528109,0.9,0.531,0.16899999999999993,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,102
Rule-Based DDA,42.93137877124964,1.0,0.9282837301587301,0.22828373015873016,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,102
PPO DDA,180.77396593461702,0.9,0.7710257936507938,0.07102579365079387,0.5210870261117816,0.37600272050645933,0.27100562300514336,200,Unseen Fast Learning,103
Static Easy,77.65480583491956,1.0,0.8558809523809523,0.15588095238095234,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,103
Static Medium,69.75888005405795,1.0,0.7207003968253969,0.020700396825396927,0.5,0.0,0.0,200,Unseen Fast Learning,103
Static Hard,-55.53099887104002,1.0,0.5225000000000001,0.17749999999999988,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,103
Rule-Based DDA,52.476764441663086,1.0,0.9408809523809524,0.24088095238095242,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,103
PPO DDA,186.87487310222028,0.8,0.7650873015873016,0.0650873015873017,0.5025418039411307,0.3722162134076618,0.2896945098386937,200,Unseen Fast Learning,104
Static Easy,64.57828250381687,0.9,0.8300555555555555,0.1300555555555556,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,104
Static Medium,28.995567215582803,0.9,0.665,0.03499999999999992,0.5,0.0,0.0,200,Unseen Fast Learning,104
Static Hard,-71.77532668125826,0.9,0.495,0.20499999999999996,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,104
Rule-Based DDA,49.330849275961285,0.9,0.920236111111111,0.22023611111111108,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,104
PPO DDA,187.55420549453294,0.9,0.7709742063492064,0.07097420634920648,0.5187559505552053,0.38574313460470544,0.27435880963077497,200,Unseen Fast Learning,105
Static Easy,73.411601530353,1.0,0.8391230158730159,0.1391230158730159,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,105
Static Medium,25.855425757098484,1.0,0.7175,0.01750000000000007,0.5,0.0,0.0,200,Unseen Fast Learning,105
Static Hard,-56.12569417390291,0.9,0.5690000000000002,0.13099999999999978,0.699999988079071,0.0,0.0,200,Unseen Fast Learning,105
Rule-Based DDA,40.4500056597648,1.0,0.9391230158730158,0.23912301587301588,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Fast Learning,105
PPO DDA,192.69353374636967,0.8,0.7957638888888888,0.09576388888888887,0.5354929837398231,0.37763235673909873,0.28564257556619355,200,Unseen Fast Learning,106
Static Easy,111.14511243577643,1.0,0.9099444444444446,0.2099444444444446,0.30000001192092896,0.0,0.0,200,Unseen Fast Learning,106
